Drug,Protein
DB00014,P30968
DB00014,P22888
DB00035,P37288
DB00035,P47901
DB00035,P30518
DB00091,P30405
DB00091,P49069
DB00091,Q96LZ3
DB00091,P62937
DB00122,Q13393
DB00122,Q8TCT1
DB00122,P49585
DB00122,P06276
DB00122,O14939
DB00122,Q9Y5K3
DB00122,P22303
DB00122,P36544
DB00126,Q9NVH6
DB00126,Q8IVL5
DB00126,P09172
DB00126,O75936
DB00126,Q9BY66
DB00126,Q9NXG6
DB00126,Q6NS38
DB00126,P19021
DB00126,O00469
DB00126,Q8IVL6
DB00126,Q96Q83
DB00126,Q8N543
DB00126,Q6N063
DB00126,Q9H6Z9
DB00126,P13674
DB00126,Q9GZT9
DB00126,O60568
DB00126,O14832
DB00126,Q32P28
DB00126,Q02809
DB00126,Q96KS0
DB00131,Q9NR19
DB00131,Q07343
DB00131,P33121
DB00131,P16220
DB00131,Q9Y478
DB00131,Q08828
DB00131,P49773
DB00131,P09467
DB00131,Q13131
DB00131,Q08499
DB00131,P55263
DB00136,P31260
DB00136,P11473
DB00140,Q969G6
DB00140,P30043
DB00141,P15291
DB00141,Q9UJ70
DB00141,P54802
DB00141,O60513
DB00141,P51606
DB00141,Q9UK23
DB00146,P11473
DB00152,Q9H3S4
DB00153,Q06432
DB00153,P11473
DB00158,P41439
DB00158,P15328
DB00158,P14207
DB00159,P35354
DB00159,P23219
DB00159,Q07869
DB00159,O14842
DB00159,O60488
DB00159,O60427
DB00159,P37231
DB00159,Q8NER1
DB00159,P32418
DB00159,Q03181
DB00162,P41222
DB00162,Q8TC12
DB00162,Q9BTZ2
DB00162,Q96NR8
DB00162,P00352
DB00162,Q9NYR8
DB00162,P05090
DB00162,O94788
DB00162,Q9HBH5
DB00162,P47895
DB00162,Q92781
DB00162,Q8NBN7
DB00162,O95237
DB00162,O75911
DB00162,Q6NUM9
DB00163,O75469
DB00163,P62714
DB00163,P17252
DB00163,P09917
DB00163,P67775
DB00163,Q9UDX4
DB00163,P05771
DB00163,Q9UDX3
DB00163,O76054
DB00163,P23743
DB00165,O00764
DB00169,P11473
DB00175,P04035
DB00175,Q92769
DB00176,Q12809
DB00176,P31645
DB00177,P30556
DB00178,P46663
DB00178,P12821
DB00179,P04278
DB00179,P09917
DB00180,P04150
DB00181,Q9UBS5
DB00181,O75899
DB00182,Q96RJ0
DB00182,P14416
DB00182,P08588
DB00182,Q99870
DB00182,P27338
DB00182,Q05940
DB00182,Q01959
DB00182,P31645
DB00182,Q16568
DB00182,P35348
DB00182,P21397
DB00182,P23975
DB00186,P14867
DB00187,P08588
DB00188,P20618
DB00188,P28074
DB00190,P20711
DB00191,P27338
DB00191,Q01959
DB00191,P01303
DB00191,P31645
DB00191,P21397
DB00191,P23975
DB00193,Q693P7
DB00193,P20309
DB00193,P35372
DB00193,P30542
DB00193,P28335
DB00193,P25103
DB00193,P41143
DB00193,P31645
DB00193,P11229
DB00193,P08913
DB00193,Q8NER1
DB00193,P23975
DB00193,Q99250
DB00193,Q05586
DB00193,P41145
DB00195,P08588
DB00195,P07550
DB00199,Q12809
DB00199,O43193
DB00201,P29275
DB00201,P42336
DB00201,O00329
DB00201,Q07343
DB00201,P42338
DB00201,P54750
DB00201,Q14643
DB00201,P78527
DB00201,Q13315
DB00201,P0DMS8
DB00201,P29274
DB00201,P30542
DB00201,P21817
DB00201,Q01064
DB00203,Q13956
DB00203,O76074
DB00203,P18545
DB00204,Q12809
DB00204,O95069
DB00204,Q14500
DB00206,O15392
DB00206,P54219
DB00206,Q05940
DB00208,Q9H244
DB00210,P10276
DB00210,P19793
DB00210,P28702
DB00210,P10826
DB00210,P05412
DB00210,P48443
DB00210,P17174
DB00210,P13631
DB00210,O60603
DB00211,P35348
DB00211,P25100
DB00211,P35368
DB00213,O94760
DB00213,P20648
DB00214,P55011
DB00214,Q13621
DB00215,P31645
DB00215,P35367
DB00216,P28222
DB00216,P28221
DB00216,P08908
DB00216,P30939
DB00218,P11388
DB00221,P08588
DB00221,P07550
DB00222,P48048
DB00222,Q14654
DB00222,Q09428
DB00226,P23975
DB00227,P04035
DB00227,Q92769
DB00227,P20701
DB00230,P54289
DB00240,P04150
DB00241,P14867
DB00241,P43681
DB00241,P47869
DB00241,P31644
DB00241,P48169
DB00241,Q16445
DB00241,P34903
DB00241,P42262
DB00241,Q13002
DB00241,P36544
DB00242,P31350
DB00242,Q7LG56
DB00242,Q07864
DB00242,P23921
DB00242,P00491
DB00242,Q9NRF9
DB00242,P56282
DB00242,Q9NR33
DB00242,P09884
DB00244,P05164
DB00244,P35354
DB00244,P23219
DB00244,O14920
DB00244,O15111
DB00244,P09917
DB00244,P37231
DB00245,Q01959
DB00245,P31645
DB00245,P11229
DB00245,P23975
DB00245,P35367
DB00246,P35462
DB00246,P46098
DB00246,P35368
DB00246,P08172
DB00246,P21917
DB00246,P28223
DB00246,P28221
DB00246,P28335
DB00246,P28222
DB00246,P28566
DB00246,P21918
DB00246,P21728
DB00246,P35367
DB00246,P14416
DB00246,P08908
DB00246,P20309
DB00246,P18089
DB00246,P50406
DB00246,P08173
DB00246,P18825
DB00246,P35348
DB00246,P08913
DB00246,P11229
DB00246,P08912
DB00246,P47898
DB00246,P34969
DB00248,P25100
DB00248,P35462
DB00248,P35368
DB00248,P21917
DB00248,P28223
DB00248,P28221
DB00248,P28335
DB00248,P28222
DB00248,P21918
DB00248,P21728
DB00248,P41595
DB00248,P14416
DB00248,P08908
DB00248,P18089
DB00248,P07550
DB00248,P18825
DB00248,P08588
DB00248,P35348
DB00248,P08913
DB00248,P34969
DB00252,Q9UQD0
DB00252,Q9NY46
DB00252,P35498
DB00252,Q07699
DB00252,O75469
DB00252,P14867
DB00252,Q12809
DB00252,Q14524
DB00252,Q13936
DB00252,Q99250
DB00253,P04150
DB00255,Q15596
DB00255,O75469
DB00255,O95718
DB00255,P10275
DB00255,P03372
DB00255,P04278
DB00255,Q92731
DB00255,P11474
DB00255,P62508
DB00257,O15554
DB00257,Q8TDS4
DB00257,O75469
DB00262,P00390
DB00264,P08588
DB00264,P07550
DB00268,P35462
DB00268,P35348
DB00268,P21917
DB00268,P14416
DB00270,Q08289
DB00270,P54289
DB00270,Q9NY47
DB00270,Q13936
DB00270,O95180
DB00270,Q13698
DB00270,Q01668
DB00273,P14867
DB00273,P35498
DB00273,P00915
DB00273,Q15878
DB00273,P22748
DB00273,Q13936
DB00273,P39086
DB00273,P00918
DB00273,P07451
DB00275,P30556
DB00276,P11388
DB00276,P02768
DB00276,Q12809
DB00276,P02763
DB00277,P29275
DB00277,Q7Z5B4
DB00277,P09874
DB00277,Q07343
DB00277,P27815
DB00277,Q14432
DB00277,Q9Y4R7
DB00277,Q99829
DB00277,Q8TCT9
DB00277,Q15155
DB00277,Q92769
DB00277,P29274
DB00277,P30542
DB00277,O76074
DB00278,P00734
DB00279,P12004
DB00279,P10828
DB00279,P10827
DB00280,P20309
DB00280,Q12809
DB00280,Q14524
DB00280,P08172
DB00280,P11229
DB00280,Q9NZV8
DB00280,Q9UK17
DB00280,P19652
DB00281,Q15858
DB00281,Q9Y5Y9
DB00281,P35499
DB00281,Q14524
DB00281,P00533
DB00281,P19652
DB00281,P02763
DB00282,O95749
DB00282,P42574
DB00282,P55211
DB00282,P14324
DB00283,P35367
DB00284,P10253
DB00284,P04746
DB00284,P14410
DB00284,O43451
DB00285,P23975
DB00285,P31645
DB00285,Q01959
DB00286,Q92731
DB00286,P03372
DB00287,P43088
DB00289,P48549
DB00289,P31645
DB00289,P23975
DB00289,Q05586
DB00289,P41145
DB00290,P18858
DB00290,P49916
DB00295,Q9Y6Y9
DB00295,P41143
DB00295,P41145
DB00295,P35372
DB00297,P34995
DB00297,Q9Y5Y9
DB00302,P00747
DB00304,P06401
DB00304,P03372
DB00307,P19793
DB00307,P28702
DB00307,P48443
DB00308,Q02641
DB00308,Q06432
DB00308,P54289
DB00308,Q14654
DB00308,Q9Y257
DB00308,Q12809
DB00308,Q9H252
DB00308,O00180
DB00308,Q13936
DB00308,Q9NS40
DB00310,P00915
DB00310,Q13621
DB00313,P35498
DB00313,Q07869
DB00313,P45954
DB00313,Q02218
DB00313,Q92769
DB00313,P37231
DB00313,Q9UKV0
DB00313,P51649
DB00313,Q03181
DB00315,P08908
DB00315,P28223
DB00315,P28221
DB00315,P30939
DB00315,P28222
DB00315,P28566
DB00315,P34969
DB00315,P41595
DB00316,Q8NER1
DB00316,Q15185
DB00316,P35354
DB00316,P23219
DB00318,P41143
DB00318,P41145
DB00318,P35372
DB00320,P28222
DB00320,P28221
DB00320,P08913
DB00320,P41595
DB00321,P25100
DB00321,P35372
DB00321,O43526
DB00321,P35368
DB00321,P23975
DB00321,P28223
DB00321,P28221
DB00321,P28335
DB00321,P41143
DB00321,P28222
DB00321,Q9H3N8
DB00321,Q09470
DB00321,P35367
DB00321,O43525
DB00321,P08908
DB00321,P04629
DB00321,P31645
DB00321,P50406
DB00321,P25021
DB00321,Q12809
DB00321,Q99720
DB00321,P35348
DB00321,P08913
DB00321,P11229
DB00321,Q16620
DB00321,P34969
DB00321,P41145
DB00323,P21964
DB00324,P04150
DB00325,P16066
DB00327,P41143
DB00327,P41145
DB00327,P35372
DB00328,Q9Y5Y4
DB00328,Q8N8N7
DB00328,P35354
DB00328,P23219
DB00328,Q07869
DB00328,Q04760
DB00328,P14555
DB00328,P37231
DB00328,P42330
DB00331,Q16134
DB00331,P21695
DB00331,Q9Y478
DB00332,P11229
DB00332,P08172
DB00332,P20309
DB00333,P43681
DB00333,P35372
DB00333,P32297
DB00333,P46098
DB00333,P41143
DB00333,P17787
DB00333,P36544
DB00333,Q05586
DB00334,P14867
DB00334,P35462
DB00334,P46098
DB00334,P35368
DB00334,P08172
DB00334,P21917
DB00334,P28223
DB00334,P28335
DB00334,P21918
DB00334,P21728
DB00334,P35367
DB00334,P14416
DB00334,P08908
DB00334,P20309
DB00334,P50406
DB00334,P08173
DB00334,P08588
DB00334,P35348
DB00334,P11229
DB00335,P08588
DB00335,P07550
DB00337,P42345
DB00337,P62942
DB00338,P35869
DB00338,P20648
DB00341,P35367
DB00342,P20309
DB00342,P08173
DB00342,Q12809
DB00342,P11229
DB00342,P08912
DB00342,P08172
DB00342,P35367
DB00343,Q06432
DB00343,Q13936
DB00346,Q12809
DB00346,P35348
DB00346,P25100
DB00346,P35368
DB00349,P14867
DB00350,P48048
DB00350,P00797
DB00350,P23219
DB00351,P06401
DB00351,P04150
DB00353,P21728
DB00353,P41595
DB00354,P11229
DB00354,P35367
DB00356,Q12791
DB00357,P11511
DB00357,P05108
DB00361,P07437
DB00363,P35462
DB00363,P46098
DB00363,P35368
DB00363,P08172
DB00363,P21917
DB00363,P28223
DB00363,P28221
DB00363,P28335
DB00363,P28222
DB00363,P28566
DB00363,Q9H3N8
DB00363,P09211
DB00363,P21728
DB00363,P35367
DB00363,P14416
DB00363,P08908
DB00363,P20309
DB00363,Q9NYX4
DB00363,P18089
DB00363,P50406
DB00363,P08173
DB00363,P18825
DB00363,P35348
DB00363,P08913
DB00363,P11229
DB00363,P08912
DB00363,P34969
DB00364,P0DJD9
DB00364,P02671
DB00364,P09038
DB00364,P01133
DB00366,P11229
DB00366,Q14994
DB00366,P35367
DB00367,P04150
DB00367,P10275
DB00367,P03372
DB00367,P04278
DB00367,P18405
DB00367,P06401
DB00368,P25100
DB00368,P54219
DB00368,P18825
DB00368,P08588
DB00368,Q05940
DB00368,P35368
DB00368,P35348
DB00368,P08913
DB00368,P18089
DB00368,P07550
DB00368,P00439
DB00368,P13945
DB00371,P14867
DB00371,P47869
DB00371,P31644
DB00371,P48169
DB00371,Q16445
DB00371,P34903
DB00373,P08588
DB00373,P07550
DB00374,P43119
DB00374,Q03181
DB00374,Q9H244
DB00376,P20309
DB00376,P08173
DB00376,P08912
DB00376,P11229
DB00376,P08172
DB00379,Q14524
DB00379,P35869
DB00380,P11388
DB00380,Q02880
DB00381,Q02641
DB00381,A0A024R8I1
DB00381,P17405
DB00381,P00915
DB00381,Q00975
DB00381,Q8IZS8
DB00381,Q13936
DB00381,Q9P0X4
DB00382,P22303
DB00382,P06276
DB00382,P23141
DB00384,P37088
DB00384,P51172
DB00384,P51170
DB00384,P51168
DB00385,P11388
DB00387,P20309
DB00387,P11229
DB00387,P08172
DB00387,P08173
DB00388,P35348
DB00388,P25100
DB00388,P35368
DB00390,P05023
DB00392,Q8TCU5
DB00392,P11229
DB00392,P08172
DB00393,Q02641
DB00393,Q08289
DB00393,P54284
DB00393,O00305
DB00393,P08235
DB00393,Q13936
DB00393,Q13698
DB00393,Q01668
DB00393,P35869
DB00393,O60840
DB00394,P04150
DB00397,P08588
DB00397,P07550
DB00397,P21728
DB00397,P08913
DB00398,P35968
DB00398,P15056
DB00398,P07949
DB00398,P09619
DB00398,P17948
DB00398,P10721
DB00398,P11362
DB00398,P36888
DB00398,P04049
DB00398,P35916
DB00399,O95749
DB00399,P14324
DB00401,Q08289
DB00401,P54289
DB00401,Q13936
DB00401,Q13698
DB00401,Q01668
DB00404,P14867
DB00405,P35367
DB00407,P05546
DB00407,P01008
DB00408,P35462
DB00408,P46098
DB00408,P35368
DB00408,P08172
DB00408,P23975
DB00408,P21917
DB00408,P28223
DB00408,P28221
DB00408,P28335
DB00408,P28222
DB00408,P28566
DB00408,Q9H3N8
DB00408,P21918
DB00408,P21728
DB00408,P35367
DB00408,P14416
DB00408,P08908
DB00408,P20309
DB00408,P31645
DB00408,P18089
DB00408,P50406
DB00408,P08173
DB00408,P18825
DB00408,P08588
DB00408,P25021
DB00408,Q01959
DB00408,P35348
DB00408,P08913
DB00408,P11229
DB00408,P08912
DB00408,P47898
DB00408,P34969
DB00412,Q07869
DB00412,P28702
DB00412,O60488
DB00412,P37231
DB00412,P19793
DB00412,P48443
DB00412,Q03181
DB00413,P14416
DB00413,P08908
DB00413,P35462
DB00413,P08913
DB00413,P21917
DB00414,P48048
DB00419,Q16739
DB00421,P04150
DB00421,Q06432
DB00421,O75469
DB00421,P08235
DB00421,P10275
DB00421,P04278
DB00421,P18405
DB00421,P06401
DB00421,P05093
DB00421,P19099
DB00422,P23975
DB00422,P08908
DB00422,Q01959
DB00424,P11229
DB00424,P08172
DB00424,P20309
DB00424,P08173
DB00427,P35367
DB00428,O60502
DB00428,P11168
DB00433,P35348
DB00433,P08913
DB00433,P14416
DB00433,P35367
DB00434,P28223
DB00434,P20309
DB00434,P28335
DB00434,P11229
DB00434,P08172
DB00434,P34969
DB00434,P35367
DB00436,P00915
DB00436,P55017
DB00436,P22748
DB00436,Q12791
DB00436,P00918
DB00437,P47989
DB00441,P04818
DB00441,P30085
DB00441,P23921
DB00443,P04150
DB00444,P11388
DB00445,P11388
DB00448,P10636
DB00448,P20648
DB00449,P35348
DB00449,P08913
DB00449,P06276
DB00449,P22303
DB00449,P07550
DB00451,P10828
DB00451,P06756
DB00451,P10827
DB00451,P05106
DB00454,P23141
DB00454,P35372
DB00454,Q12879
DB00454,Q13224
DB00454,Q01959
DB00454,P31645
DB00454,P11229
DB00454,Q14957
DB00454,P23975
DB00454,O15399
DB00454,Q05586
DB00454,P41145
DB00455,Q12809
DB00455,P35367
DB00457,P25100
DB00457,P35368
DB00457,Q12809
DB00457,P35348
DB00457,P08913
DB00457,P18089
DB00458,P25100
DB00458,P35368
DB00458,P08172
DB00458,P23975
DB00458,P28223
DB00458,P28335
DB00458,Q9NZV8
DB00458,P21728
DB00458,P35367
DB00458,P14416
DB00458,P08908
DB00458,P20309
DB00458,P31645
DB00458,Q9UK17
DB00458,P08173
DB00458,P50406
DB00458,Q01959
DB00458,Q12809
DB00458,P35348
DB00458,P11229
DB00458,P08912
DB00458,O95259
DB00458,P34969
DB00458,P19652
DB00461,P35354
DB00461,P23219
DB00464,P07225
DB00464,P04070
DB00465,P35354
DB00465,P23219
DB00468,O15554
DB00468,P14770
DB00469,P35354
DB00469,P23219
DB00470,P21554
DB00470,P34972
DB00471,Q9Y271
DB00471,P09917
DB00472,P32297
DB00472,P28335
DB00472,P61024
DB00472,P30926
DB00472,Q12809
DB00472,P31645
DB00472,Q15822
DB00475,P14867
DB00476,P23975
DB00476,P31645
DB00476,Q01959
DB00477,P35462
DB00477,P35368
DB00477,P21917
DB00477,P02763
DB00477,P28223
DB00477,P28335
DB00477,Q9H3N8
DB00477,P21918
DB00477,P21728
DB00477,P35367
DB00477,P14416
DB00477,P08908
DB00477,P20309
DB00477,P17405
DB00477,P50406
DB00477,P0DP23
DB00477,Q12809
DB00477,P35348
DB00477,P08913
DB00477,P11229
DB00477,P34969
DB00480,Q96SW2
DB00480,P33151
DB00480,O14788
DB00480,P35354
DB00481,P04155
DB00481,Q92731
DB00481,P50453
DB00481,P03372
DB00482,P35354
DB00482,O15530
DB00482,P00918
DB00482,H3BUU9
DB00482,P07451
DB00484,P18089
DB00484,P08913
DB00484,P18825
DB00489,Q12809
DB00489,P07550
DB00489,P08588
DB00490,P08908
DB00490,P14416
DB00490,P35462
DB00490,P35348
DB00490,P21917
DB00491,P10253
DB00491,Q8TET4
DB00491,Q14697
DB00491,O43451
DB00492,P12821
DB00494,P21964
DB00497,P41143
DB00497,P41145
DB00497,P35372
DB00499,O75469
DB00499,P10275
DB00499,P35869
DB00500,P35354
DB00500,P23219
DB00501,P25021
DB00502,Q99705
DB00502,P14416
DB00502,P28223
DB00502,P20309
DB00502,P08908
DB00502,P18825
DB00502,P35462
DB00502,Q13224
DB00502,P28335
DB00502,P50406
DB00502,Q05940
DB00502,Q99720
DB00502,P35348
DB00502,P08913
DB00502,P18089
DB00502,P34969
DB00502,P21728
DB00502,P35367
DB00508,P14416
DB00508,P11229
DB00508,P08172
DB00508,P21728
DB00508,P41595
DB00514,P43681
DB00514,P32297
DB00514,P35372
DB00514,Q8TCU5
DB00514,P04839
DB00514,P41143
DB00514,P30926
DB00514,O00264
DB00514,Q99720
DB00514,Q15822
DB00514,P31645
DB00514,P17787
DB00514,Q5T1J1
DB00514,P23975
DB00514,P36544
DB00514,P41145
DB00515,P29372
DB00515,P01023
DB00515,O00244
DB00515,P02787
DB00519,P12821
DB00521,P08588
DB00521,P07550
DB00523,P10276
DB00523,P28702
DB00523,P17936
DB00523,Q15238
DB00523,P10826
DB00523,Q6V0L0
DB00523,P19793
DB00523,P48443
DB00523,P13631
DB00524,P55017
DB00527,Q14524
DB00527,Q9Y5Y9
DB00527,P0DP23
DB00528,Q06432
DB00530,O75469
DB00530,P00533
DB00531,O75469
DB00532,Q14524
DB00532,O75469
DB00535,P05164
DB00536,Q14353
DB00536,P07998
DB00536,P78352
DB00536,P05091
DB00537,P11388
DB00537,Q12809
DB00540,P28223
DB00540,P08908
DB00540,P25100
DB00540,P14416
DB00540,P08588
DB00540,P28335
DB00540,P35368
DB00540,O00264
DB00540,P31645
DB00540,P35348
DB00540,P08913
DB00540,P11229
DB00540,P23975
DB00540,P35367
DB00541,P07437
DB00541,P68366
DB00542,P12821
DB00544,P04818
DB00545,P02768
DB00545,P22303
DB00545,P06276
DB00547,P04150
DB00548,P31213
DB00548,P14679
DB00548,P51857
DB00549,Q9Y271
DB00550,P07202
DB00552,P00813
DB00554,P35354
DB00554,P23219
DB00555,P14867
DB00555,P35498
DB00555,P42261
DB00555,P14416
DB00555,P28223
DB00555,P08588
DB00555,P46098
DB00555,P35367
DB00555,P02708
DB00555,P35348
DB00555,P08913
DB00555,P29274
DB00555,P30542
DB00555,P21728
DB00555,P41145
DB00555,Q15878
DB00557,Q12809
DB00557,P35367
DB00559,P24530
DB00559,P25101
DB00563,P04818
DB00563,P31939
DB00563,P00374
DB00564,P35498
DB00564,O75469
DB00564,P43681
DB00569,P00742
DB00569,P01008
DB00570,P23258
DB00570,Q9UJT1
DB00570,Q9UJT0
DB00570,P05412
DB00570,Q71U36
DB00570,P07437
DB00571,P08908
DB00571,P08588
DB00571,P28222
DB00571,P07550
DB00571,P13945
DB00572,P43681
DB00572,P20309
DB00572,P08173
DB00572,P23415
DB00572,P08912
DB00572,P11229
DB00572,P08172
DB00572,P17787
DB00573,Q07869
DB00573,P37231
DB00573,P35354
DB00573,P23219
DB00575,P25100
DB00575,P18825
DB00575,P35368
DB00575,P35348
DB00575,P08913
DB00575,P18089
DB00583,Q9H015
DB00583,P47989
DB00583,P43155
DB00583,Q9UKG9
DB00583,P05164
DB00583,P50416
DB00583,O43772
DB00583,P23786
DB00583,Q8N8R3
DB00583,O76082
DB00583,P23141
DB00584,P12821
DB00585,P25021
DB00586,P35354
DB00586,P23219
DB00588,P06401
DB00588,P04150
DB00588,P47712
DB00588,P08235
DB00589,P14416
DB00589,P08908
DB00589,P28223
DB00589,P18825
DB00589,P35462
DB00589,P28221
DB00589,P28335
DB00589,P21917
DB00589,P28222
DB00589,P08913
DB00589,P18089
DB00589,P21918
DB00589,P34969
DB00589,P21728
DB00589,P41595
DB00590,Q12809
DB00590,P35348
DB00590,P25100
DB00590,P35368
DB00591,P04150
DB00591,P12429
DB00591,P09525
DB00591,P08758
DB00591,P07355
DB00591,P04083
DB00594,P19801
DB00594,P37088
DB00594,P78348
DB00594,P51168
DB00594,P19634
DB00594,P51172
DB00594,P00749
DB00594,P51170
DB00594,Q16515
DB00596,P04150
DB00598,P08588
DB00598,P35348
DB00598,P07550
DB00603,P14867
DB00603,P06401
DB00603,P08183
DB00603,P03372
DB00604,Q12809
DB00604,Q13639
DB00604,P28223
DB00604,P46098
DB00605,P27361
DB00605,Q9Y5Y4
DB00605,P35354
DB00605,P23219
DB00605,Q03181
DB00605,P15121
DB00605,O60218
DB00608,Q9NR96
DB00608,P09429
DB00608,P09210
DB00608,Q9BYF1
DB00608,P01375
DB00608,P09488
DB00611,P41143
DB00611,P41145
DB00611,P35372
DB00612,P08588
DB00612,P07550
DB00619,O43519
DB00619,P11274
DB00619,Q08345
DB00619,P16234
DB00619,P07333
DB00619,P04629
DB00619,P10721
DB00619,P00519
DB00619,P09619
DB00620,P04150
DB00622,Q08289
DB00622,P54289
DB00622,P25100
DB00622,P20309
DB00622,P08173
DB00622,P54750
DB00622,P0DP23
DB00622,P35368
DB00622,P35348
DB00622,P11229
DB00622,P08172
DB00622,P08912
DB00622,Q13936
DB00622,Q01064
DB00622,Q01668
DB00623,P28223
DB00623,P14416
DB00623,P10275
DB00623,P28335
DB00623,P0DP23
DB00623,P21728
DB00624,P08235
DB00624,P10275
DB00624,P03372
DB00627,P40261
DB00627,P49019
DB00627,Q15274
DB00627,Q8TDS4
DB00630,P23469
DB00630,P38606
DB00630,P14324
DB00630,P29074
DB00630,Q13332
DB00631,P09884
DB00631,P23921
DB00635,P04150
DB00636,Q07869
DB00637,Q12809
DB00637,O95259
DB00637,P10636
DB00637,P35367
DB00640,P29275
DB00640,P30542
DB00640,P0DMS8
DB00640,P29274
DB00641,P04035
DB00641,Q92769
DB00641,P20701
DB00642,P04818
DB00642,P22102
DB00642,P31939
DB00642,P00374
DB00644,Q96P88
DB00644,P30968
DB00647,P23141
DB00647,P41143
DB00647,P41145
DB00647,P35372
DB00651,Q07343
DB00651,P27815
DB00651,Q08493
DB00651,P29274
DB00651,Q08499
DB00651,P30542
DB00652,Q99720
DB00652,P41145
DB00652,P35372
DB00653,Q13936
DB00654,P43088
DB00655,P10275
DB00655,P03372
DB00655,P04278
DB00655,Q92731
DB00655,P11511
DB00657,Q15822
DB00657,P17787
DB00657,P36544
DB00657,P43681
DB00659,P14867
DB00659,Q05586
DB00659,P41594
DB00661,P25100
DB00661,Q14654
DB00661,Q00975
DB00661,O43497
DB00661,P35368
DB00661,Q12809
DB00661,P31645
DB00661,P35348
DB00661,Q13936
DB00661,O95180
DB00661,O00555
DB00663,P04150
DB00668,P01375
DB00668,P25100
DB00668,P08588
DB00668,P35368
DB00668,P35348
DB00668,P08913
DB00668,P18089
DB00668,P07550
DB00669,P28222
DB00669,P28221
DB00669,P08908
DB00669,P30939
DB00672,Q09428
DB00674,P22303
DB00674,P36544
DB00674,A9X444
DB00674,P06276
DB00675,O75469
DB00675,P45983
DB00675,P10275
DB00675,P03372
DB00675,P04278
DB00675,P17252
DB00675,Q92731
DB00675,Q12809
DB00675,Q15125
DB00675,P62508
DB00678,P30556
DB00679,P28223
DB00679,P14416
DB00679,P35368
DB00679,Q12809
DB00679,P35348
DB00679,P21728
DB00682,O75469
DB00682,Q9BQB6
DB00686,P09038
DB00686,P05230
DB00686,P08620
DB00687,P04150
DB00687,P08235
DB00691,P12821
DB00692,P35348
DB00692,P08913
DB00692,P25100
DB00692,P35368
DB00694,P11388
DB00694,Q02880
DB00695,Q13621
DB00695,P00918
DB00695,Q9HC97
DB00696,P28223
DB00696,P14416
DB00696,P25100
DB00696,P08908
DB00696,P18825
DB00696,P28221
DB00696,P28335
DB00696,P35368
DB00696,P30939
DB00696,P28222
DB00696,P35348
DB00696,P08913
DB00696,P21728
DB00696,P41595
DB00697,P35348
DB00697,P08913
DB00697,Q9Y2I1
DB00699,P35348
DB00704,Q5T1J1
DB00704,P41143
DB00704,P41145
DB00704,P35372
DB00706,P35348
DB00706,P25100
DB00706,P35368
DB00710,O95749
DB00710,P14324
DB00712,P35354
DB00712,P23219
DB00714,P14416
DB00714,P08908
DB00714,P28223
