Drug,Disease,,,,,,,,D114480
DB00014,D114480,,,,,,,,D131200
DB00014,D131200,,,,,,,,D176807
DB00014,D176807,,,,,,,,D601518
DB00014,D601518,,,,,,,,D125700
DB00035,D125700,,,,,,,,D134430
DB00035,D134430,,,,,,,,D134500
DB00035,D134500,,,,,,,,D193400
DB00035,D193400,,,,,,,,D277480
DB00035,D277480,,,,,,,,D304900
DB00035,D304900,,,,,,,,D152700
DB00091,D152700,,,,,,,,D254200
DB00091,D254200,,,,,,,,D140600
DB00122,D140600,,,,,,,,D147530
DB00122,D147530,,,,,,,,D165720
DB00122,D165720,,,,,,,,D208230
DB00122,D208230,,,,,,,,D607459
DB00122,D607459,,,,,,,,D607850
DB00122,D607850,,,,,,,,D206200
DB00126,D206200,,,,,,,,D250790
DB00126,D250790,,,,,,,,D194200
DB00131,D194200,,,,,,,,D146200
DB00136,D146200,,,,,,,,D146255
DB00136,D146255,,,,,,,,D166710
DB00136,D166710,,,,,,,,D264700
DB00136,D264700,,,,,,,,D277440
DB00136,D277440,,,,,,,,D277460
DB00136,D277460,,,,,,,,D307700
DB00136,D307700,,,,,,,,D600081
DB00136,D600081,,,,,,,,D145590
DB00140,D145590,,,,,,,,D277730
DB00141,D140600,,,,,,,,D134600
DB00141,D165720,,,,,,,,D241519
DB00141,D607850,,,,,,,,D259660
DB00146,D146200,,,,,,,,D261100
DB00146,D166710,,,,,,,,D219700
DB00146,D264700,,,,,,,,D115300
DB00146,D277440,,,,,,,,D277350
DB00146,D307700,,,,,,,,D104300
DB00146,D600081,,,,,,,,D104310
DB00152,D277730,,,,,,,,D125320
DB00153,D134600,,,,,,,,D200170
DB00153,D146200,,,,,,,,D230450
DB00153,D146255,,,,,,,,D231900
DB00153,D166710,,,,,,,,D266120
DB00153,D241519,,,,,,,,D605055
DB00153,D259660,,,,,,,,D606703
DB00153,D264700,,,,,,,,D606889
DB00153,D277440,,,,,,,,D607822
DB00153,D307700,,,,,,,,D608907
DB00153,D600081,,,,,,,,D239350
DB00158,D261100,,,,,,,,D102500
DB00159,D219700,,,,,,,,D266600
DB00162,D115300,,,,,,,,D144010
DB00162,D277350,,,,,,,,D601367
DB00163,D104300,,,,,,,,D164230
DB00163,D104310,,,,,,,,D161900
DB00163,D125320,,,,,,,,D608622
DB00163,D200170,,,,,,,,D233100
DB00163,D230450,,,,,,,,D106400
DB00163,D231900,,,,,,,,D208550
DB00163,D266120,,,,,,,,D600807
DB00163,D277460,,,,,,,,D126200
DB00163,D605055,,,,,,,,D128101
DB00163,D606703,,,,,,,,D143100
DB00163,D606889,,,,,,,,D189600
DB00163,D607822,,,,,,,,D190400
DB00163,D608907,,,,,,,,D601042
DB00165,D239350,,,,,,,,D607225
DB00169,D102500,,,,,,,,D143465
DB00169,D146200,,,,,,,,D161400
DB00169,D166710,,,,,,,,D252320
DB00169,D264700,,,,,,,,D254500
DB00169,D266600,,,,,,,,D102300
DB00169,D277440,,,,,,,,D168100
DB00169,D307700,,,,,,,,D168600
DB00169,D600081,,,,,,,,D264120
DB00175,D144010,,,,,,,,D303110
DB00175,D601367,,,,,,,,D601665
DB00176,D164230,,,,,,,,D137750
DB00177,D161900,,,,,,,,D604416
DB00177,D608622,,,,,,,,D157300
DB00178,D146255,,,,,,,,D178600
DB00178,D161900,,,,,,,,D115000
DB00178,D233100,,,,,,,,D607554
DB00178,D608622,,,,,,,,D608583
DB00179,D106400,,,,,,,,D188050
DB00180,D208550,,,,,,,,D146500
DB00180,D600807,,,,,,,,D157700
DB00181,D126200,,,,,,,,D109350
DB00181,D128101,,,,,,,,D190310
DB00181,D143100,,,,,,,,D600263
DB00181,D147530,,,,,,,,D166300
DB00181,D189600,,,,,,,,D215140
DB00181,D190400,,,,,,,,D600351
DB00181,D601042,,,,,,,,D103780
DB00181,D607225,,,,,,,,D131300
DB00182,D143465,,,,,,,,D182830
DB00182,D161400,,,,,,,,D225740
DB00186,D189600,,,,,,,,D225755
DB00186,D252320,,,,,,,,D260970
DB00187,D161900,,,,,,,,D608033
DB00187,D608622,,,,,,,,D300125
DB00188,D254500,,,,,,,,D607498
DB00190,D102300,,,,,,,,D607501
DB00190,D125320,,,,,,,,D607508
DB00190,D168100,,,,,,,,D607516
DB00190,D168600,,,,,,,,D210050
DB00191,D264120,,,,,,,,D125850
DB00191,D303110,,,,,,,,D125851
DB00191,D601665,,,,,,,,D125853
DB00193,D102300,,,,,,,,D600496
DB00193,D140600,,,,,,,,D608320
DB00193,D147530,,,,,,,,D165199
DB00193,D165720,,,,,,,,D233810
DB00193,D607850,,,,,,,,D109543
DB00195,D137750,,,,,,,,D151400
DB00195,D161900,,,,,,,,D258360
DB00195,D608622,,,,,,,,D276300
DB00199,D604416,,,,,,,,D137580
DB00201,D140600,,,,,,,,D181500
DB00201,D145590,,,,,,,,D600634
DB00201,D147530,,,,,,,,D104130
DB00201,D157300,,,,,,,,D603165
DB00203,D161900,,,,,,,,D114580
DB00203,D178600,,,,,,,,D212050
DB00204,D115000,,,,,,,,D137800
DB00204,D607554,,,,,,,,D236000
DB00204,D608583,,,,,,,,D247640
DB00206,D161900,,,,,,,,D267730
DB00206,D608622,,,,,,,,D110100
DB00208,D188050,,,,,,,,D190300
DB00210,D604416,,,,,,,,D168601
DB00211,D146500,,,,,,,,D260300
DB00211,D157700,,,,,,,,D556500
DB00211,D252320,,,,,,,,D600116
DB00213,D109350,,,,,,,,D606324
DB00213,D190310,,,,,,,,D607060
DB00213,D600263,,,,,,,,D607688
DB00214,D146255,,,,,,,,D179600
DB00214,D161900,,,,,,,,D308350
DB00214,D166300,,,,,,,,D605021
DB00214,D215140,,,,,,,,D606369
DB00214,D600351,,,,,,,,D601626
DB00214,D608622,,,,,,,,D138800
DB00215,D103780,,,,,,,,D140300
DB00215,D131300,,,,,,,,D275000
DB00215,D164230,,,,,,,,D102400
DB00215,D182830,,,,,,,,D143880
DB00215,D225740,,,,,,,,D167320
DB00215,D225755,,,,,,,,D607154
DB00215,D260970,,,,,,,,D215470
DB00215,D608033,,,,,,,,D311360
DB00216,D157300,,,,,,,,D137760
DB00216,D300125,,,,,,,,D601682
DB00216,D607498,,,,,,,,D155600
DB00216,D607501,,,,,,,,D155601
DB00216,D607508,,,,,,,,D273300
DB00216,D607516,,,,,,,,D134510
DB00218,D208550,,,,,,,,D134520
DB00221,D208550,,,,,,,,D227300
DB00221,D210050,,,,,,,,D184700
DB00221,D600807,,,,,,,,D254400
DB00222,D125850,,,,,,,,D608088
DB00222,D125851,,,,,,,,D278200
DB00222,D125853,,,,,,,,D133690
DB00222,D600496,,,,,,,,D246400
DB00226,D161900,,,,,,,,D263800
DB00226,D608622,,,,,,,,D602522
DB00227,D144010,,,,,,,,D103285
DB00227,D608320,,,,,,,,D300494
DB00230,D102300,,,,,,,,D304790
DB00230,D147530,,,,,,,,D147540
DB00230,D165199,,,,,,,,D600082
DB00240,D233810,,,,,,,,D109100
DB00241,D145590,,,,,,,,D268320
DB00241,D157300,,,,,,,,D208750
DB00242,D109543,,,,,,,,D212112
DB00242,D126200,,,,,,,,D212130
DB00242,D151400,,,,,,,,D212350
DB00242,D258360,,,,,,,,D125310
DB00242,D276300,,,,,,,,D145500
DB00244,D266600,,,,,,,,D203700
DB00245,D125320,,,,,,,,D109800
DB00245,D168100,,,,,,,,D114550
DB00245,D168600,,,,,,,,D144700
DB00246,D137580,,,,,,,,D188470
DB00246,D181500,,,,,,,,D605839
DB00248,D600634,,,,,,,,D602080
DB00252,D104130,,,,,,,,D230800
DB00252,D115000,,,,,,,,D230900
DB00252,D165199,,,,,,,,D231000
DB00253,D603165,,,,,,,,D257200
DB00255,D276300,,,,,,,,D257220
DB00257,D114580,,,,,,,,D607616
DB00257,D212050,,,,,,,,D607625
DB00262,D109543,,,,,,,,D608013
DB00262,D137800,,,,,,,,D226150
DB00262,D236000,,,,,,,,D260570
DB00262,D247640,,,,,,,,D113610
DB00262,D254500,,,,,,,,D218200
DB00262,D267730,,,,,,,,D312910
DB00262,D276300,,,,,,,,D606798
DB00264,D110100,,,,,,,,D256370
DB00264,D157700,,,,,,,,D310468
DB00264,D161900,,,,,,,,D602068
DB00264,D190300,,,,,,,,D182280
DB00264,D607554,,,,,,,,D223350
DB00264,D608583,,,,,,,,D157950
DB00264,D608622,,,,,,,,D192200
DB00268,D102300,,,,,,,,D308205
DB00268,D125320,,,,,,,,D135550
DB00268,D168100,,,,,,,,D175100
DB00268,D168600,,,,,,,,D175505
DB00268,D168601,,,,,,,,D246470
DB00268,D260300,,,,,,,,D604302
DB00268,D556500,,,,,,,,D608456
DB00268,D600116,,,,,,,,D156190
DB00268,D606324,,,,,,,,D165150
DB00268,D607060,,,,,,,,D259050
DB00268,D607688,,,,,,,,D300232
DB00270,D161900,,,,,,,,D127750
DB00270,D179600,,,,,,,,D133239
DB00270,D608622,,,,,,,,D256700
DB00273,D147530,,,,,,,,D259500
DB00273,D157300,,,,,,,,D148000
DB00273,D264120,,,,,,,,D166760
DB00273,D300125,,,,,,,,D194070
DB00273,D308350,,,,,,,,D268220
DB00273,D605021,,,,,,,,D601608
DB00273,D606369,,,,,,,,D114500
DB00275,D161900,,,,,,,,D137215
DB00275,D608622,,,,,,,,D208920
DB00276,D601626,,,,,,,,D231090
DB00277,D208550,,,,,,,,D188030
DB00277,D210050,,,,,,,,D140850
DB00277,D600807,,,,,,,,D171300
DB00278,D188050,,,,,,,,D188890
DB00279,D138800,,,,,,,,D212140
DB00279,D140300,,,,,,,,D606054
DB00279,D275000,,,,,,,,D150600
DB00280,D115000,,,,,,,,D181000
DB00281,D147530,,,,,,,,D131440
DB00282,D102400,,,,,,,,D607685
DB00282,D102500,,,,,,,,D608232
DB00282,D114480,,,,,,,,D148100
DB00282,D143880,,,,,,,,D173200
DB00282,D166300,,,,,,,,D144650
DB00282,D166710,,,,,,,,D187360
DB00282,D167320,,,,,,,,D191100
DB00282,D254500,,,,,,,,D202370
DB00282,D276300,,,,,,,,D205700
DB00283,D603165,,,,,,,,D240200
DB00283,D607154,,,,,,,,D300100
DB00284,D125850,,,,,,,,D143890
DB00284,D125851,,,,,,,,D146110
DB00284,D125853,,,,,,,,D127350
DB00284,D600496,,,,,,,,D189800
DB00285,D131300,,,,,,,,D248190
DB00285,D143465,,,,,,,,D115195
DB00285,D147530,,,,,,,,D174800
DB00285,D164230,,,,,,,,D107320
DB00286,D102500,,,,,,,,D540000
DB00286,D114480,,,,,,,,D155100
DB00286,D166710,,,,,,,,D231200
DB00286,D176807,,,,,,,,D273800
DB00286,D215470,,,,,,,,D151380
DB00286,D311360,,,,,,,,D160750
DB00286,D601518,,,,,,,,D153800
DB00287,D137750,,,,,,,,D608895
DB00287,D137760,,,,,,,,D153880
DB00287,D161900,,,,,,,,D107650
DB00287,D601682,,,,,,,,D107550
DB00289,D143465,,,,,,,,D113800
DB00290,D109543,,,,,,,,D124200
DB00290,D155600,,,,,,,,D145200
DB00290,D155601,,,,,,,,D146700
DB00290,D236000,,,,,,,,D182000
DB00290,D247640,,,,,,,,D242100
DB00290,D267730,,,,,,,,D191390
DB00290,D273300,,,,,,,,D208700
DB00295,D147530,,,,,,,,D267740
DB00297,D147530,,,,,,,,D300491
DB00302,D134430,,,,,,,,D600131
DB00302,D134500,,,,,,,,D604827
DB00302,D134510,,,,,,,,D607628
DB00302,D134520,,,,,,,,D607631
DB00302,D227300,,,,,,,,D607681
DB00304,D131200,,,,,,,,D607682
DB00304,D184700,,,,,,,,D608105
DB00307,D254400,,,,,,,,D121201
DB00307,D276300,,,,,,,,D132090
DB00308,D607554,,,,,,,,D132100
DB00308,D608583,,,,,,,,D147480
DB00310,D161900,,,,,,,,D156000
DB00310,D608622,,,,,,,,D219750
DB00313,D104130,,,,,,,,D219800
DB00313,D104300,,,,,,,,D270960
DB00313,D125320,,,,,,,,D119500
DB00313,D181500,,,,,,,,D247200
DB00313,D239350,,,,,,,,D115645
DB00313,D605055,,,,,,,,D106100
DB00313,D606369,,,,,,,,D202400
DB00315,D157300,,,,,,,,D160300
DB00316,D140600,,,,,,,,D211980
DB00316,D145590,,,,,,,,D187950
DB00316,D147530,,,,,,,,D263300
DB00316,D157300,,,,,,,,D608266
DB00316,D608088,,,,,,,,D246300
DB00318,D140600,,,,,,,,D209850
DB00318,D145590,,,,,,,,D300425
DB00318,D608088,,,,,,,,D300495
DB00320,D145590,,,,,,,,D608636
DB00320,D157300,,,,,,,,D254770
DB00320,D300125,,,,,,,,D254800
DB00320,D607501,,,,,,,,D144250
DB00321,D147530,,,,,,,,D145750
DB00321,D252320,,,,,,,,D121200
DB00323,D168100,,,,,,,,D143500
DB00323,D168600,,,,,,,,D208085
DB00323,D168601,,,,,,,,D218800
DB00323,D260300,,,,,,,,D237450
DB00323,D556500,,,,,,,,D237500
DB00323,D600116,,,,,,,,D608217
DB00323,D606324,,,,,,,,D109200
DB00323,D607060,,,,,,,,D145600
DB00323,D607688,,,,,,,,D154276
DB00324,D278200,,,,,,,,D217150
DB00325,D161900,,,,,,,,D601887
DB00325,D608622,,,,,,,,D260480
DB00327,D147530,,,,,,,,D606764
DB00327,D608088,,,,,,,,D600803
DB00328,D133690,,,,,,,,D249100
DB00328,D140600,,,,,,,,D212110
DB00328,D147530,,,,,,,,D125852
DB00328,D157300,,,,,,,,D222100
DB00328,D165720,,,,,,,,D601942
DB00328,D208230,,,,,,,,
DB00328,D246400,,,,,,,,
DB00328,D263800,,,,,,,,
DB00328,D602522,,,,,,,,
DB00328,D607459,,,,,,,,
DB00328,D607850,,,,,,,,
DB00331,D103285,,,,,,,,
DB00331,D125850,,,,,,,,
DB00331,D125851,,,,,,,,
DB00331,D125853,,,,,,,,
DB00331,D184700,,,,,,,,
DB00331,D600496,,,,,,,,
DB00332,D208550,,,,,,,,
DB00332,D210050,,,,,,,,
DB00332,D600807,,,,,,,,
DB00333,D147530,,,,,,,,
DB00334,D164230,,,,,,,,
DB00334,D181500,,,,,,,,
DB00334,D300494,,,,,,,,
DB00335,D110100,,,,,,,,
DB00335,D157700,,,,,,,,
DB00337,D233810,,,,,,,,
DB00337,D603165,,,,,,,,
DB00338,D109350,,,,,,,,
DB00338,D190310,,,,,,,,
DB00338,D304790,,,,,,,,
DB00338,D600263,,,,,,,,
DB00341,D603165,,,,,,,,
DB00341,D607154,,,,,,,,
DB00342,D147540,,,,,,,,
DB00342,D603165,,,,,,,,
DB00342,D607154,,,,,,,,
DB00343,D161900,,,,,,,,
DB00343,D179600,,,,,,,,
DB00343,D607554,,,,,,,,
DB00343,D608583,,,,,,,,
DB00343,D608622,,,,,,,,
DB00346,D147530,,,,,,,,
DB00346,D200170,,,,,,,,
DB00346,D600082,,,,,,,,
DB00349,D606369,,,,,,,,
DB00350,D104130,,,,,,,,
DB00350,D161900,,,,,,,,
DB00350,D608622,,,,,,,,
DB00351,D109100,,,,,,,,
DB00351,D114480,,,,,,,,
DB00353,D157300,,,,,,,,
DB00354,D145590,,,,,,,,
DB00356,D147530,,,,,,,,
DB00357,D268320,,,,,,,,
DB00361,D236000,,,,,,,,
DB00363,D181500,,,,,,,,
DB00364,D109350,,,,,,,,
DB00364,D161900,,,,,,,,
DB00364,D190310,,,,,,,,
DB00366,D145590,,,,,,,,
DB00366,D147540,,,,,,,,
DB00367,D131200,,,,,,,,
DB00367,D184700,,,,,,,,
DB00368,D146500,,,,,,,,
DB00371,D145590,,,,,,,,
DB00371,D200170,,,,,,,,
DB00371,D601042,,,,,,,,
DB00373,D137750,,,,,,,,
DB00373,D137760,,,,,,,,
DB00373,D157300,,,,,,,,
DB00373,D161900,,,,,,,,
DB00373,D300125,,,,,,,,
DB00373,D601682,,,,,,,,
DB00373,D608622,,,,,,,,
DB00374,D161900,,,,,,,,
DB00374,D178600,,,,,,,,
DB00376,D168100,,,,,,,,
DB00376,D168600,,,,,,,,
DB00376,D168601,,,,,,,,
DB00376,D260300,,,,,,,,
DB00376,D556500,,,,,,,,
DB00376,D600116,,,,,,,,
DB00376,D606324,,,,,,,,
DB00376,D607060,,,,,,,,
DB00376,D607688,,,,,,,,
DB00379,D115000,,,,,,,,
DB00380,D208750,,,,,,,,
DB00380,D212112,,,,,,,,
DB00380,D212130,,,,,,,,
DB00380,D212350,,,,,,,,
DB00380,D225740,,,,,,,,
DB00381,D125310,,,,,,,,
DB00381,D145500,,,,,,,,
DB00381,D161900,,,,,,,,
DB00381,D179600,,,,,,,,
DB00381,D608320,,,,,,,,
DB00381,D608622,,,,,,,,
DB00382,D104300,,,,,,,,
DB00382,D104310,,,,,,,,
DB00382,D125320,,,,,,,,
DB00382,D605055,,,,,,,,
DB00382,D606889,,,,,,,,
DB00382,D607822,,,,,,,,
DB00382,D608907,,,,,,,,
DB00384,D203700,,,,,,,,
DB00384,D210050,,,,,,,,
DB00384,D215140,,,,,,,,
DB00384,D600351,,,,,,,,
DB00385,D109800,,,,,,,,
DB00387,D125320,,,,,,,,
DB00387,D168100,,,,,,,,
DB00387,D168600,,,,,,,,
DB00387,D168601,,,,,,,,
DB00387,D260300,,,,,,,,
DB00387,D556500,,,,,,,,
DB00387,D600116,,,,,,,,
DB00387,D606324,,,,,,,,
DB00387,D607060,,,,,,,,
DB00387,D607688,,,,,,,,
DB00388,D137750,,,,,,,,
DB00388,D137760,,,,,,,,
DB00388,D145590,,,,,,,,
DB00388,D146500,,,,,,,,
DB00388,D147540,,,,,,,,
DB00388,D601682,,,,,,,,
DB00388,D608088,,,,,,,,
DB00390,D607554,,,,,,,,
DB00390,D608583,,,,,,,,
DB00392,D168600,,,,,,,,
DB00392,D168601,,,,,,,,
DB00392,D260300,,,,,,,,
DB00392,D556500,,,,,,,,
DB00392,D600116,,,,,,,,
DB00392,D606324,,,,,,,,
DB00392,D607060,,,,,,,,
DB00392,D607688,,,,,,,,
DB00393,D125310,,,,,,,,
DB00393,D601367,,,,,,,,
DB00394,D208550,,,,,,,,
DB00394,D600807,,,,,,,,
DB00394,D603165,,,,,,,,
DB00394,D607154,,,,,,,,
DB00397,D147540,,,,,,,,
DB00397,D264120,,,,,,,,
DB00397,D303110,,,,,,,,
DB00397,D601665,,,,,,,,
DB00397,D608088,,,,,,,,
DB00398,D114550,,,,,,,,
DB00398,D144700,,,,,,,,
DB00398,D188470,,,,,,,,
DB00398,D605839,,,,,,,,
DB00399,D102500,,,,,,,,
DB00399,D143880,,,,,,,,
DB00399,D167320,,,,,,,,
DB00399,D254500,,,,,,,,
DB00399,D276300,,,,,,,,
DB00399,D602080,,,,,,,,
DB00399,D605839,,,,,,,,
DB00401,D161900,,,,,,,,
DB00401,D179600,,,,,,,,
DB00401,D608622,,,,,,,,
DB00404,D252320,,,,,,,,
DB00405,D607154,,,,,,,,
DB00407,D188050,,,,,,,,
DB00408,D181500,,,,,,,,
DB00412,D125850,,,,,,,,
DB00412,D125851,,,,,,,,
DB00412,D125853,,,,,,,,
DB00412,D600496,,,,,,,,
DB00413,D102300,,,,,,,,
DB00413,D125320,,,,,,,,
DB00413,D168100,,,,,,,,
DB00413,D168600,,,,,,,,
DB00413,D168601,,,,,,,,
DB00413,D260300,,,,,,,,
DB00413,D556500,,,,,,,,
DB00413,D600116,,,,,,,,
DB00413,D606324,,,,,,,,
DB00413,D607060,,,,,,,,
DB00413,D607688,,,,,,,,
DB00414,D125850,,,,,,,,
DB00414,D125851,,,,,,,,
DB00414,D125853,,,,,,,,
DB00414,D600496,,,,,,,,
DB00419,D230800,,,,,,,,
DB00419,D230900,,,,,,,,
DB00419,D231000,,,,,,,,
DB00419,D257200,,,,,,,,
DB00419,D257220,,,,,,,,
DB00419,D607616,,,,,,,,
DB00419,D607625,,,,,,,,
DB00419,D608013,,,,,,,,
DB00421,D104130,,,,,,,,
DB00421,D161900,,,,,,,,
DB00421,D215140,,,,,,,,
DB00421,D600351,,,,,,,,
DB00421,D604416,,,,,,,,
DB00421,D608622,,,,,,,,
DB00422,D143465,,,,,,,,
DB00424,D168600,,,,,,,,
DB00424,D168601,,,,,,,,
DB00424,D190310,,,,,,,,
DB00424,D200170,,,,,,,,
DB00424,D226150,,,,,,,,
DB00424,D260300,,,,,,,,
DB00424,D260570,,,,,,,,
DB00424,D556500,,,,,,,,
DB00424,D600116,,,,,,,,
DB00424,D606324,,,,,,,,
DB00424,D607060,,,,,,,,
DB00424,D607688,,,,,,,,
DB00427,D603165,,,,,,,,
DB00427,D607154,,,,,,,,
DB00428,D236000,,,,,,,,
DB00433,D145590,,,,,,,,
DB00433,D182830,,,,,,,,
DB00433,D225740,,,,,,,,
DB00433,D225755,,,,,,,,
DB00433,D260970,,,,,,,,
DB00433,D608033,,,,,,,,
DB00434,D113610,,,,,,,,
DB00434,D147540,,,,,,,,
DB00434,D157300,,,,,,,,
DB00434,D181500,,,,,,,,
DB00434,D218200,,,,,,,,
DB00434,D300125,,,,,,,,
DB00434,D312910,,,,,,,,
DB00434,D603165,,,,,,,,
DB00434,D606703,,,,,,,,
DB00434,D606798,,,,,,,,
DB00434,D607154,,,,,,,,
DB00436,D161900,,,,,,,,
DB00436,D215140,,,,,,,,
DB00436,D256370,,,,,,,,
DB00436,D600351,,,,,,,,
DB00436,D608622,,,,,,,,
DB00437,D310468,,,,,,,,
DB00437,D602068,,,,,,,,
DB00441,D114480,,,,,,,,
DB00441,D144700,,,,,,,,
DB00441,D605839,,,,,,,,
DB00443,D603165,,,,,,,,
DB00444,D109543,,,,,,,,
DB00444,D182280,,,,,,,,
DB00444,D223350,,,,,,,,
DB00444,D236000,,,,,,,,
DB00444,D247640,,,,,,,,
DB00444,D267730,,,,,,,,
DB00445,D114480,,,,,,,,
DB00445,D276300,,,,,,,,
DB00448,D109350,,,,,,,,
DB00448,D190310,,,,,,,,
DB00448,D600263,,,,,,,,
DB00449,D137750,,,,,,,,
DB00449,D137760,,,,,,,,
DB00449,D161900,,,,,,,,
DB00449,D601682,,,,,,,,
DB00451,D138800,,,,,,,,
DB00451,D140300,,,,,,,,
DB00451,D275000,,,,,,,,
DB00454,D147530,,,,,,,,
DB00455,D603165,,,,,,,,
DB00455,D607154,,,,,,,,
DB00457,D147530,,,,,,,,
DB00457,D157950,,,,,,,,
DB00457,D161900,,,,,,,,
DB00457,D179600,,,,,,,,
DB00457,D200170,,,,,,,,
DB00457,D600082,,,,,,,,
DB00457,D608622,,,,,,,,
DB00458,D143465,,,,,,,,
DB00458,D147530,,,,,,,,
DB00461,D140600,,,,,,,,
DB00461,D147530,,,,,,,,
DB00461,D165720,,,,,,,,
DB00461,D607850,,,,,,,,
DB00464,D192200,,,,,,,,
DB00465,D147530,,,,,,,,
DB00465,D308205,,,,,,,,
DB00468,D200170,,,,,,,,
DB00469,D140600,,,,,,,,
DB00469,D165720,,,,,,,,
DB00469,D607850,,,,,,,,
DB00470,D109100,,,,,,,,
DB00471,D208550,,,,,,,,
DB00471,D210050,,,,,,,,
DB00471,D600807,,,,,,,,
DB00472,D131300,,,,,,,,
DB00472,D164230,,,,,,,,
DB00472,D181500,,,,,,,,
DB00472,D252320,,,,,,,,
DB00475,D103780,,,,,,,,
DB00475,D226150,,,,,,,,
DB00476,D147530,,,,,,,,
DB00476,D165199,,,,,,,,
DB00477,D145590,,,,,,,,
DB00477,D181500,,,,,,,,
DB00480,D254500,,,,,,,,
DB00481,D102500,,,,,,,,
DB00481,D114480,,,,,,,,
DB00481,D166710,,,,,,,,
DB00482,D135550,,,,,,,,
DB00482,D140600,,,,,,,,
DB00482,D147530,,,,,,,,
